"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 24, 2021","791.45","797.76","798.19","790.63","68.50M","-1.14%"
"Sep 23, 2021","800.61","799.15","803.11","797.93","68.14M","1.04%"
"Sep 22, 2021","792.40","790.25","792.95","786.85","66.02M","0.77%"
"Sep 21, 2021","786.31","781.98","789.97","781.98","80.35M","1.03%"
"Sep 20, 2021","778.28","779.80","781.38","773.24","102.90M","-1.42%"
"Sep 17, 2021","789.49","803.67","804.47","788.03","145.95M","-1.09%"
"Sep 16, 2021","798.15","797.10","800.41","796.72","77.31M","0.50%"
"Sep 15, 2021","794.19","798.76","800.34","794.10","79.01M","-0.44%"
"Sep 14, 2021","797.71","792.65","798.04","789.57","63.01M","0.79%"
"Sep 13, 2021","791.45","789.49","794.88","789.49","63.69M","0.38%"
"Sep 10, 2021","788.49","790.29","794.06","786.84","64.55M","0.17%"
"Sep 09, 2021","787.17","785.11","791.18","782.21","70.55M","-0.23%"
"Sep 08, 2021","789.00","789.83","791.92","784.35","69.26M","-0.72%"
"Sep 07, 2021","794.73","798.05","799.51","793.64","70.47M","-0.48%"
"Sep 06, 2021","798.55","792.79","799.56","792.79","55.55M","1.14%"
"Sep 03, 2021","789.55","793.23","794.10","784.81","54.21M","-0.48%"
"Sep 02, 2021","793.32","789.11","793.76","787.63","56.76M","0.42%"
"Sep 01, 2021","790.00","793.39","793.91","787.75","68.14M","0.30%"
"Aug 31, 2021","787.62","791.27","792.54","784.90","83.22M","-0.19%"
"Aug 30, 2021","789.14","788.32","790.23","787.88","38.41M","0.27%"
"Aug 27, 2021","787.04","780.41","787.33","779.85","50.92M","0.86%"
"Aug 26, 2021","780.31","778.19","781.94","776.19","55.86M","-0.21%"
"Aug 25, 2021","781.93","783.56","785.46","781.24","58.14M","-0.16%"
"Aug 24, 2021","783.15","785.02","785.61","780.55","58.81M","0.37%"
"Aug 23, 2021","780.28","777.14","780.86","773.24","56.78M","1.15%"
"Aug 20, 2021","771.41","766.09","772.92","763.34","58.44M","0.73%"
"Aug 19, 2021","765.83","761.22","766.27","755.33","94.19M","-0.73%"
"Aug 18, 2021","771.48","770.98","773.01","768.90","68.98M","0.09%"
"Aug 17, 2021","770.79","766.93","772.08","764.65","118.17M","0.13%"
"Aug 16, 2021","769.78","769.64","772.49","767.14","69.53M","-0.65%"
"Aug 13, 2021","774.83","773.85","775.50","771.94","66.62M","-0.05%"
"Aug 12, 2021","775.24","775.16","778.96","773.95","95.68M","-0.08%"
"Aug 11, 2021","775.84","776.60","778.73","774.18","70.09M","0.09%"
"Aug 10, 2021","775.12","773.54","777.26","773.20","68.62M","0.43%"
"Aug 09, 2021","771.80","766.70","772.93","766.70","55.85M","0.52%"
"Aug 06, 2021","767.82","768.03","769.51","766.87","72.08M","-0.05%"
"Aug 05, 2021","768.23","763.86","771.56","763.86","61.18M","0.26%"
"Aug 04, 2021","766.24","763.66","767.39","763.06","63.02M","0.81%"
"Aug 03, 2021","760.08","755.81","760.75","754.46","67.93M","0.25%"
"Aug 02, 2021","758.22","760.48","762.19","754.87","64.65M","0.52%"
"Jul 30, 2021","754.31","752.16","759.35","751.37","78.42M","-0.50%"
"Jul 29, 2021","758.08","750.96","758.58","750.91","84.11M","1.39%"
"Jul 28, 2021","747.66","739.19","747.82","738.56","63.55M","1.41%"
"Jul 27, 2021","737.24","740.72","741.94","735.67","72.81M","-1.05%"
"Jul 26, 2021","745.10","744.36","746.64","742.52","72.22M","-0.58%"
"Jul 23, 2021","749.42","741.61","749.78","739.58","55.71M","1.41%"
"Jul 22, 2021","739.03","735.88","741.13","734.97","59.06M","0.72%"
"Jul 21, 2021","733.74","728.24","735.11","728.23","68.38M","1.62%"
