"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 30, 2021","18.44","18.80","19.09","18.35","81.76K","-1.39%"
"Sep 29, 2021","18.70","19.04","19.34","18.68","112.90K","-1.35%"
"Sep 28, 2021","18.96","19.81","19.88","18.90","114.03K","-4.68%"
"Sep 27, 2021","19.89","19.80","19.98","19.79","106.28K","0.96%"
"Sep 24, 2021","19.70","19.86","19.98","19.64","45.70K","-0.83%"
"Sep 23, 2021","19.86","20.06","20.25","19.76","108.48K","-0.17%"
"Sep 22, 2021","19.90","19.90","20.18","19.80","79.09K","0.49%"
"Sep 21, 2021","19.80","20.00","20.20","19.55","121.61K","-1.30%"
"Sep 20, 2021","20.06","20.42","20.42","19.89","107.01K","-2.17%"
"Sep 17, 2021","20.50","20.40","20.92","20.16","382.17K","1.01%"
"Sep 16, 2021","20.30","19.90","20.30","19.90","57.79K","2.22%"
"Sep 15, 2021","19.86","20.10","20.50","19.86","69.09K","-1.19%"
"Sep 14, 2021","20.10","19.80","21.72","19.80","80.14K","-2.05%"
"Sep 13, 2021","20.52","19.99","20.60","19.94","110.35K","2.96%"
"Sep 10, 2021","19.93","20.50","20.60","19.91","155.74K","-3.25%"
"Sep 09, 2021","20.60","20.76","21.00","20.30","112.11K","-1.15%"
"Sep 08, 2021","20.84","21.44","21.48","20.84","144.02K","-3.52%"
"Sep 07, 2021","21.60","21.06","21.70","21.04","123.20K","2.76%"
"Sep 06, 2021","21.02","21.30","21.30","20.98","101.93K","-0.76%"
"Sep 03, 2021","21.18","21.20","21.52","21.16","84.42K","-0.47%"
"Sep 02, 2021","21.28","21.50","21.50","21.16","57.43K","-1.02%"
"Sep 01, 2021","21.50","21.40","21.80","21.24","85.22K","0.47%"
"Aug 31, 2021","21.40","21.68","21.68","21.02","144.03K","-1.11%"
"Aug 30, 2021","21.64","21.78","22.30","21.60","65.64K","-2.43%"
"Aug 27, 2021","22.18","21.40","22.26","20.58","175.08K","0.73%"
"Aug 26, 2021","22.02","22.00","22.10","21.70","61.49K","0.82%"
"Aug 25, 2021","21.84","22.12","22.12","21.58","70.61K","0.74%"
"Aug 24, 2021","21.68","21.86","22.00","21.58","49.46K","-1.09%"
"Aug 23, 2021","21.92","21.30","22.10","21.30","53.49K","1.39%"
"Aug 20, 2021","21.62","21.72","21.72","21.46","23.63K","-0.55%"
"Aug 19, 2021","21.74","22.10","22.18","21.72","54.75K","-3.03%"
"Aug 18, 2021","22.42","22.82","22.82","22.06","47.75K","0.09%"
"Aug 17, 2021","22.40","22.80","22.80","22.40","94.18K","-2.10%"
"Aug 16, 2021","22.88","22.96","22.96","22.58","90.53K","0.53%"
"Aug 13, 2021","22.76","22.40","22.96","22.36","108.10K","1.07%"
"Aug 12, 2021","22.52","21.84","22.64","21.84","157.55K","1.53%"
"Aug 11, 2021","22.18","21.62","22.22","21.62","75.81K","1.28%"
"Aug 10, 2021","21.90","21.58","22.00","21.42","107.56K","0.64%"
"Aug 09, 2021","21.76","22.28","22.28","21.58","121.09K","-2.07%"
"Aug 06, 2021","22.22","22.20","22.22","21.58","105.73K","0.09%"
"Aug 05, 2021","22.20","21.28","22.24","21.28","109.35K","3.45%"
"Aug 04, 2021","21.46","21.68","21.74","21.32","64.67K","0.19%"
"Aug 03, 2021","21.42","21.70","21.78","21.42","66.41K","-1.29%"
"Aug 02, 2021","21.70","21.20","21.98","21.20","94.50K","2.65%"
"Jul 30, 2021","21.14","21.30","21.32","20.92","67.49K","-1.03%"
"Jul 29, 2021","21.36","21.62","21.72","21.26","46.75K","-1.02%"
"Jul 28, 2021","21.58","21.00","21.90","21.00","62.35K","1.98%"
"Jul 27, 2021","21.16","21.80","21.80","21.10","70.69K","-2.67%"
"Jul 26, 2021","21.74","21.02","21.80","20.96","67.29K","2.26%"
"Jul 23, 2021","21.26","21.08","21.48","21.04","52.68K","0.95%"
"Jul 22, 2021","21.06","21.76","21.84","21.06","74.36K","-2.14%"
"Jul 21, 2021","21.52","20.50","21.70","20.50","112.29K","5.49%"
"Jul 20, 2021","20.40","20.36","20.64","20.24","109.27K","2.05%"
"Jul 19, 2021","19.99","20.84","21.02","19.78","179.77K","-6.24%"
"Jul 16, 2021","21.32","21.70","21.70","21.06","58.82K","1.04%"
"Jul 15, 2021","21.10","21.32","21.32","20.88","67.26K","-1.12%"
"Jul 14, 2021","21.34","21.86","21.86","21.24","76.24K","-2.29%"
"Jul 13, 2021","21.84","21.92","22.54","21.84","57.39K","-2.67%"
"Jul 12, 2021","22.44","21.96","22.56","21.86","116.29K","2.19%"
"Jul 09, 2021","21.96","21.02","21.98","20.88","126.16K","4.47%"
"Jul 08, 2021","21.02","21.34","21.40","20.78","91.54K","-2.41%"
"Jul 07, 2021","21.54","21.94","22.28","21.52","84.72K","-1.46%"
"Jul 06, 2021","21.86","21.98","22.12","21.78","58.71K","-0.46%"
"Jul 05, 2021","21.96","21.90","21.96","21.72","53.91K","1.10%"
"Jul 02, 2021","21.72","21.58","21.80","21.48","52.99K","0.65%"
"Jul 01, 2021","21.58","21.10","21.70","21.10","64.23K","2.86%"
"Jun 30, 2021","20.98","21.22","21.40","20.92","139.19K","-1.13%"
"Jun 29, 2021","21.22","21.52","22.00","21.22","69.65K","-2.39%"
"Jun 28, 2021","21.74","22.52","22.64","21.74","88.19K","-3.38%"
"Jun 25, 2021","22.50","22.28","22.52","22.10","59.62K","1.72%"
"Jun 24, 2021","22.12","22.42","22.42","21.98","49.59K","-0.72%"
"Jun 23, 2021","22.28","22.10","22.46","22.10","49.98K","0.81%"
"Jun 22, 2021","22.10","21.98","22.48","21.86","144.61K","1.10%"
"Jun 21, 2021","21.86","21.28","21.88","20.92","104.74K","3.21%"
"Jun 18, 2021","21.18","21.74","21.80","21.16","410.37K","-1.58%"
"Jun 17, 2021","21.52","21.48","21.70","21.40","78.41K","0.00%"
"Jun 16, 2021","21.52","22.00","22.18","21.32","187.17K","-2.27%"
"Jun 15, 2021","22.02","22.50","22.68","22.02","103.53K","-3.51%"
"Jun 14, 2021","22.82","22.36","22.92","22.36","75.69K","1.51%"
"Jun 11, 2021","22.48","23.00","23.00","22.12","149.06K","-1.83%"
"Jun 10, 2021","22.90","23.38","23.48","22.84","174.31K","-1.89%"
