"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 23, 2021","731.56","723.55","733.10","723.39","-","1.01%"
"Sep 22, 2021","724.24","718.84","726.79","718.08","-","0.73%"
"Sep 21, 2021","719.02","717.70","723.37","716.67","-","0.13%"
"Sep 20, 2021","718.09","729.66","729.66","712.44","-","-1.63%"
"Sep 17, 2021","729.99","735.26","736.78","729.15","-","-0.71%"
"Sep 16, 2021","735.21","737.35","737.42","732.15","-","-0.25%"
"Sep 15, 2021","737.08","734.58","737.74","732.92","-","0.26%"
"Sep 14, 2021","735.17","737.75","740.14","734.14","-","-0.33%"
"Sep 13, 2021","737.62","736.71","740.42","735.18","-","0.05%"
"Sep 10, 2021","737.28","739.74","744.36","736.77","-","-0.31%"
"Sep 09, 2021","739.58","742.64","743.50","739.58","-","-0.43%"
"Sep 08, 2021","742.77","745.77","746.40","740.58","-","-0.44%"
"Sep 07, 2021","746.07","748.66","749.16","745.34","-","-0.29%"
"Sep 06, 2021","748.21","746.67","748.40","746.55","-","0.23%"
"Sep 03, 2021","746.46","745.83","747.17","744.59","-","0.11%"
"Sep 02, 2021","745.67","743.43","746.33","743.04","-","0.27%"
"Sep 01, 2021","743.67","741.37","745.57","740.88","-","0.32%"
"Aug 31, 2021","741.27","740.54","743.06","739.87","-","0.06%"
"Aug 30, 2021","740.79","738.03","741.62","737.73","-","0.48%"
"Aug 27, 2021","737.24","731.61","738.02","731.19","-","0.72%"
"Aug 26, 2021","731.94","736.32","736.37","731.67","-","-0.52%"
"Aug 25, 2021","735.79","734.61","736.66","734.15","-","0.16%"
"Aug 24, 2021","734.64","730.93","735.22","730.93","-","0.57%"
"Aug 23, 2021","730.48","723.30","731.62","723.30","-","1.09%"
"Aug 20, 2021","722.58","719.58","723.16","717.66","-","0.38%"
"Aug 19, 2021","719.88","724.32","724.33","716.64","-","-0.70%"
"Aug 18, 2021","724.93","728.92","730.20","724.61","-","-0.58%"
"Aug 17, 2021","729.13","734.74","734.83","725.78","-","-0.77%"
"Aug 16, 2021","734.78","736.02","736.06","730.14","-","-0.17%"
"Aug 13, 2021","736.02","734.77","736.34","733.93","-","0.17%"
"Aug 12, 2021","734.75","734.28","734.75","732.07","-","0.10%"
"Aug 11, 2021","734.01","732.16","734.62","731.78","-","0.27%"
"Aug 10, 2021","732.02","731.15","733.22","730.81","-","0.13%"
"Aug 09, 2021","731.10","731.03","731.85","730.24","-","-0.01%"
"Aug 06, 2021","731.19","732.27","732.66","730.44","-","-0.19%"
"Aug 05, 2021","732.57","729.36","732.57","728.98","-","0.43%"
"Aug 04, 2021","729.43","730.45","731.88","728.90","-","-0.10%"
"Aug 03, 2021","730.15","726.41","730.39","724.71","-","0.45%"
"Aug 02, 2021","726.88","724.59","729.90","724.56","-","0.37%"
"Jul 30, 2021","724.21","729.70","729.72","723.47","-","-0.75%"
"Jul 29, 2021","729.68","724.70","730.94","724.67","-","0.84%"
"Jul 28, 2021","723.61","721.95","725.68","720.88","-","0.17%"
"Jul 27, 2021","722.41","726.94","727.21","719.15","-","-0.59%"
"Jul 26, 2021","726.67","727.67","728.01","724.95","-","-0.06%"
"Jul 23, 2021","727.13","722.67","727.52","721.90","-","0.60%"
"Jul 22, 2021","722.80","720.27","722.98","720.25","-","0.42%"
"Jul 21, 2021","719.79","714.15","720.29","713.45","-","0.91%"
"Jul 20, 2021","713.30","706.72","715.16","705.66","-","0.83%"
"Jul 19, 2021","707.42","718.60","718.60","704.54","-","-1.63%"
"Jul 16, 2021","719.17","723.23","724.40","718.45","-","-0.62%"
"Jul 15, 2021","723.66","726.24","726.72","721.17","-","-0.33%"
"Jul 14, 2021","726.09","725.32","728.77","724.99","-","-0.03%"
"Jul 13, 2021","726.33","727.60","728.77","725.35","-","-0.14%"
"Jul 12, 2021","727.33","724.27","727.35","724.27","-","0.52%"
"Jul 09, 2021","723.60","716.56","724.14","714.74","-","0.91%"
"Jul 08, 2021","717.06","724.48","724.58","713.00","-","-1.01%"
"Jul 07, 2021","724.41","722.73","725.18","720.92","-","0.15%"
"Jul 06, 2021","723.35","725.56","726.11","719.80","-","-0.28%"
"Jul 05, 2021","725.38","725.14","725.55","724.40","-","0.10%"
"Jul 02, 2021","724.66","721.56","725.62","720.74","-","0.39%"
"Jul 01, 2021","721.82","719.99","721.82","719.20","-","0.26%"
"Jun 30, 2021","719.97","721.69","722.04","719.16","-","-0.23%"
"Jun 29, 2021","721.64","721.83","722.41","720.91","-","-0.06%"
"Jun 28, 2021","722.05","721.82","722.30","720.37","-","0.02%"
"Jun 25, 2021","721.91","719.19","722.15","719.19","-","0.45%"
"Jun 24, 2021","718.68","714.74","719.51","714.53","-","0.51%"
"Jun 23, 2021","715.02","715.35","717.56","714.66","-","0.04%"
"Jun 22, 2021","714.74","711.45","716.50","711.28","-","0.52%"
"Jun 21, 2021","711.04","705.56","711.40","702.69","-","0.72%"
"Jun 18, 2021","705.97","714.39","714.77","705.90","-","-1.24%"
"Jun 17, 2021","714.87","715.35","715.71","711.33","-","-0.41%"
"Jun 16, 2021","717.84","720.25","720.57","713.42","-","-0.33%"
"Jun 15, 2021","720.23","721.07","722.32","719.34","-","-0.12%"
"Jun 14, 2021","721.10","719.66","721.10","718.87","-","0.22%"
"Jun 11, 2021","719.52","718.56","719.61","717.60","-","0.18%"
"Jun 10, 2021","718.23","715.27","719.40","715.22","-","0.37%"
"Jun 09, 2021","715.57","716.71","717.88","715.34","-","-0.19%"
"Jun 08, 2021","716.96","717.07","718.19","714.86","-","-0.01%"
"Jun 07, 2021","717.00","716.77","717.28","715.51","-","0.10%"
"Jun 04, 2021","716.31","711.03","716.86","710.31","-","0.70%"
"Jun 03, 2021","711.36","714.60","715.54","708.52","-","-0.43%"
"Jun 02, 2021","714.42","713.45","715.42","712.94","-","0.09%"
"Jun 01, 2021","713.76","711.81","717.00","711.44","-","0.32%"
"May 31, 2021","711.45","711.17","711.85","710.95","-","0.04%"
"May 28, 2021","711.15","709.26","712.90","709.26","-","0.31%"
"May 27, 2021","708.92","708.12","710.39","707.24","-","0.06%"
"May 26, 2021","708.52","707.17","709.04","707.13","-","0.18%"
"May 25, 2021","707.26","706.36","710.31","706.28","-","0.15%"
"May 24, 2021","706.20","701.35","707.49","701.02","-","0.66%"
"May 21, 2021","701.57","701.68","705.31","700.76","-","0.03%"
"May 20, 2021","701.33","693.68","702.94","693.53","-","0.95%"
"May 19, 2021","694.70","698.31","698.45","688.02","-","-0.58%"
"May 18, 2021","698.77","698.70","702.84","698.70","-","0.04%"
"May 17, 2021","698.47","699.65","699.91","696.21","-","-0.09%"
"May 14, 2021","699.13","688.97","700.19","688.97","-","1.54%"
"May 13, 2021","688.54","686.02","690.86","682.11","-","0.26%"
"May 12, 2021","686.77","698.20","698.35","685.65","-","-1.67%"
"May 11, 2021","698.42","705.83","705.83","693.14","-","-1.14%"
"May 10, 2021","706.50","711.03","711.94","706.22","-","-0.54%"
"May 07, 2021","710.36","704.42","711.59","704.32","-","0.88%"
"May 06, 2021","704.14","699.87","704.38","697.99","-","0.64%"
"May 05, 2021","699.63","697.46","701.82","696.95","-","0.29%"
"May 04, 2021","697.60","703.15","703.33","693.41","-","-0.81%"
"May 03, 2021","703.31","701.64","705.42","700.53","-","0.21%"
"Apr 30, 2021","701.83","708.28","708.34","700.87","-","-0.88%"
"Apr 29, 2021","708.07","706.71","710.42","704.66","-","0.33%"
"Apr 28, 2021","705.72","705.37","708.42","705.01","-","0.03%"
"Apr 27, 2021","705.54","706.27","706.27","704.38","-","-0.11%"
"Apr 26, 2021","706.32","704.48","707.04","704.31","-","0.37%"
"Apr 23, 2021","703.72","697.95","705.79","697.67","-","0.77%"
"Apr 22, 2021","698.32","700.42","702.83","696.84","-","-0.23%"
"Apr 21, 2021","699.91","696.06","700.03","693.67","-","0.41%"
"Apr 20, 2021","697.04","702.77","703.10","694.85","-","-0.85%"
"Apr 19, 2021","702.99","704.82","706.31","701.65","-","-0.28%"
"Apr 16, 2021","704.94","702.16","705.49","701.37","-","0.42%"
"Apr 15, 2021","702.02","696.10","702.36","695.62","-","0.89%"
"Apr 14, 2021","695.84","696.51","699.11","695.58","-","-0.02%"
"Apr 13, 2021","695.97","693.68","697.01","693.14","-","0.34%"
"Apr 12, 2021","693.58","694.78","694.85","692.03","-","-0.16%"
"Apr 09, 2021","694.71","692.91","694.77","691.28","-","0.31%"
"Apr 08, 2021","692.56","688.66","692.85","688.16","-","0.48%"
"Apr 07, 2021","689.24","689.13","690.04","687.63","-","0.07%"
"Apr 06, 2021","688.76","687.90","690.22","686.86","-","0.18%"
"Apr 05, 2021","687.54","681.34","688.00","680.95","-","0.96%"
"Apr 02, 2021","681.03","681.10","681.48","680.89","-","0.08%"
"Apr 01, 2021","680.47","673.02","680.72","672.96","-","1.07%"
"Mar 31, 2021","673.29","672.14","675.52","670.83","-","0.17%"
"Mar 30, 2021","672.12","672.92","673.43","669.99","-","-0.11%"
"Mar 29, 2021","672.83","673.27","674.04","669.77","-","-0.08%"
"Mar 26, 2021","673.35","663.85","673.58","663.81","-","1.44%"
"Mar 25, 2021","663.79","662.49","664.80","657.43","-","0.14%"
"Mar 24, 2021","662.83","668.25","668.94","662.52","-","-0.90%"
"Mar 23, 2021","668.84","674.60","674.80","667.47","-","-0.79%"
"Mar 22, 2021","674.18","671.09","675.86","669.93","-","0.41%"
"Mar 19, 2021","671.41","672.99","673.18","667.32","-","-0.29%"
"Mar 18, 2021","673.38","679.88","681.19","672.49","-","-0.71%"
"Mar 17, 2021","678.19","678.04","680.74","673.51","-","0.03%"
"Mar 16, 2021","677.96","677.23","680.38","676.78","-","0.14%"
"Mar 15, 2021","676.99","674.59","677.39","671.62","-","0.37%"
"Mar 12, 2021","674.47","675.39","676.28","670.44","-","-0.06%"
"Mar 11, 2021","674.86","666.92","677.24","666.57","-","1.29%"
"Mar 10, 2021","666.28","663.45","668.87","662.78","-","0.50%"
"Mar 09, 2021","662.99","653.82","666.15","652.63","-","1.35%"
"Mar 08, 2021","654.18","657.65","661.14","653.69","-","-0.50%"
"Mar 05, 2021","657.49","652.00","658.63","644.63","-","0.63%"
"Mar 04, 2021","653.36","662.46","662.48","647.12","-","-1.42%"
"Mar 03, 2021","662.80","667.36","670.32","662.48","-","-0.65%"
"Mar 02, 2021","667.11","670.53","671.44","667.11","-","-0.51%"
"Mar 01, 2021","670.52","656.42","671.71","656.38","-","2.03%"
"Feb 26, 2021","657.15","665.87","665.87","653.97","-","-1.48%"
"Feb 25, 2021","667.05","676.05","679.01","664.25","-","-1.23%"
"Feb 24, 2021","675.37","673.86","676.35","667.69","-","0.20%"
"Feb 23, 2021","674.03","674.02","675.34","663.42","-","0.04%"
"Feb 22, 2021","673.77","679.84","681.32","673.77","-","-0.88%"
"Feb 19, 2021","679.74","679.10","682.44","677.43","-","0.16%"
"Feb 18, 2021","678.67","682.94","683.16","675.17","-","-0.59%"
