"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 30, 2021","32.00","32.10","32.40","32.00","28.41K","0.63%"
"Sep 29, 2021","31.80","32.05","32.45","31.70","37.54K","-0.63%"
"Sep 28, 2021","32.00","32.75","32.75","31.90","24.33K","-2.44%"
"Sep 27, 2021","32.80","32.90","33.15","32.80","22.32K","0.31%"
"Sep 24, 2021","32.70","33.55","33.55","32.70","18.48K","-1.80%"
"Sep 23, 2021","33.30","33.10","33.45","33.10","15.46K","0.60%"
"Sep 22, 2021","33.10","33.00","33.40","33.00","10.05K","-0.30%"
"Sep 21, 2021","33.20","33.55","33.55","33.15","7.30K","-0.15%"
"Sep 20, 2021","33.25","33.35","33.40","32.90","9.56K","-0.15%"
"Sep 17, 2021","33.30","33.40","33.80","33.30","45.40K","-0.30%"
"Sep 16, 2021","33.40","33.30","33.90","33.30","21.51K","0.15%"
"Sep 15, 2021","33.35","33.50","33.50","33.05","18.51K","0.30%"
"Sep 14, 2021","33.25","33.85","33.85","33.20","13.46K","-1.63%"
"Sep 13, 2021","33.80","33.40","33.80","33.35","33.76K","1.05%"
"Sep 10, 2021","33.45","34.50","34.50","33.45","15.99K","-2.19%"
"Sep 09, 2021","34.20","33.65","34.75","33.60","31.99K","1.03%"
"Sep 08, 2021","33.85","35.20","35.20","33.65","102.05K","-3.70%"
"Sep 07, 2021","35.15","35.15","35.55","35.15","29.95K","-0.42%"
"Sep 06, 2021","35.30","35.55","35.70","35.25","7.42K","-0.56%"
"Sep 03, 2021","35.50","35.05","35.50","35.05","8.96K","0.42%"
"Sep 02, 2021","35.35","35.70","35.70","35.15","9.79K","-0.14%"
"Sep 01, 2021","35.40","35.60","35.65","35.25","20.10K","0.57%"
"Aug 31, 2021","35.20","35.45","35.55","35.15","17.87K","-0.56%"
"Aug 30, 2021","35.40","35.05","35.65","35.05","7.38K","0.43%"
"Aug 27, 2021","35.25","35.05","35.50","35.00","11.77K","0.71%"
"Aug 26, 2021","35.00","34.65","35.00","34.55","8.98K","0.00%"
"Aug 25, 2021","35.00","34.70","35.00","34.55","16.55K","0.86%"
"Aug 24, 2021","34.70","35.60","35.60","34.70","9.84K","-1.00%"
"Aug 23, 2021","35.05","35.75","35.80","35.05","5.73K","-1.82%"
"Aug 20, 2021","35.70","35.50","35.75","35.35","13.54K","-0.14%"
"Aug 19, 2021","35.75","35.95","36.00","35.55","14.21K","-0.56%"
"Aug 18, 2021","35.95","36.30","36.30","35.60","7.78K","0.42%"
"Aug 17, 2021","35.80","35.70","36.00","35.70","6.56K","-0.69%"
"Aug 16, 2021","36.05","36.25","36.35","35.80","8.51K","-0.69%"
