"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 30, 2021","23.20","22.90","23.75","22.90","36.39K","2.20%"
"Sep 29, 2021","22.70","24.00","24.00","22.35","49.70K","-3.61%"
"Sep 28, 2021","23.55","24.10","24.15","23.55","29.46K","-2.48%"
"Sep 27, 2021","24.15","24.10","24.35","23.90","13.94K","1.68%"
"Sep 24, 2021","23.75","23.90","24.05","23.75","5.58K","0.00%"
"Sep 23, 2021","23.75","24.15","24.45","23.75","23.86K","-1.25%"
"Sep 22, 2021","24.05","24.00","24.35","24.00","21.25K","1.69%"
"Sep 21, 2021","23.65","23.55","23.75","23.45","10.40K","-0.21%"
"Sep 20, 2021","23.70","23.60","23.70","23.20","23.57K","-1.04%"
"Sep 17, 2021","23.95","23.45","24.00","23.45","54.11K","2.13%"
"Sep 16, 2021","23.45","23.50","23.80","23.30","10.76K","-0.42%"
"Sep 15, 2021","23.55","23.00","23.70","23.00","18.68K","1.51%"
"Sep 14, 2021","23.20","23.50","23.50","23.00","26.36K","0.22%"
"Sep 13, 2021","23.15","22.85","23.45","22.85","15.84K","1.09%"
"Sep 10, 2021","22.90","23.05","23.15","22.80","25.52K","-0.65%"
"Sep 09, 2021","23.05","22.95","23.40","22.70","13.55K","0.44%"
"Sep 08, 2021","22.95","23.60","23.60","22.95","20.69K","-3.97%"
"Sep 07, 2021","23.90","23.90","23.90","23.60","10.18K","1.27%"
"Sep 06, 2021","23.60","23.80","24.05","23.60","5.46K","-1.05%"
"Sep 03, 2021","23.85","23.65","24.15","23.65","13.28K","0.21%"
"Sep 02, 2021","23.80","23.75","23.80","23.65","5.54K","0.63%"
"Sep 01, 2021","23.65","24.10","24.25","23.60","9.53K","-0.63%"
"Aug 31, 2021","23.80","24.00","24.05","23.70","9.27K","-0.83%"
"Aug 30, 2021","24.00","24.25","24.50","23.95","5.15K","-1.03%"
"Aug 27, 2021","24.25","23.85","24.25","23.65","12.21K","1.68%"
"Aug 26, 2021","23.85","23.65","24.05","23.45","9.55K","0.00%"
"Aug 25, 2021","23.85","24.15","24.15","23.50","14.03K","0.00%"
"Aug 24, 2021","23.85","24.55","24.55","23.85","16.74K","-2.85%"
"Aug 23, 2021","24.55","24.05","24.55","23.90","20.99K","1.87%"
"Aug 20, 2021","24.10","24.00","24.20","24.00","9.54K","0.21%"
"Aug 19, 2021","24.05","24.50","24.70","23.95","14.23K","-2.43%"
"Aug 18, 2021","24.65","25.00","25.00","24.55","5.29K","-0.20%"
"Aug 17, 2021","24.70","25.05","25.45","24.65","12.89K","-3.14%"
"Aug 16, 2021","25.50","25.25","25.50","25.10","12.42K","0.59%"
"Aug 13, 2021","25.35","25.15","25.60","25.05","16.53K","0.80%"
"Aug 12, 2021","25.15","25.00","25.40","25.00","6.57K","-0.40%"
"Aug 11, 2021","25.25","24.70","25.25","24.65","13.49K","2.43%"
"Aug 10, 2021","24.65","25.10","25.35","24.40","16.94K","-0.60%"
"Aug 09, 2021","24.80","25.00","25.25","24.75","15.27K","-0.20%"
"Aug 06, 2021","24.85","25.25","25.30","24.85","7.54K","-1.58%"
"Aug 05, 2021","25.25","25.05","25.65","25.05","8.16K","-0.79%"
"Aug 04, 2021","25.45","24.90","25.50","24.60","21.26K","2.62%"
"Aug 03, 2021","24.80","25.20","25.45","24.50","13.29K","-4.25%"
"Aug 02, 2021","25.90","25.45","25.90","25.45","25.72K","2.78%"
"Jul 30, 2021","25.20","25.25","25.35","25.10","8.74K","-0.98%"
"Jul 29, 2021","25.45","25.00","25.55","24.80","8.65K","1.80%"
"Jul 28, 2021","25.00","25.15","25.25","25.00","2.12K","-0.40%"
"Jul 27, 2021","25.10","25.20","25.30","24.90","2.42K","-0.79%"
"Jul 26, 2021","25.30","25.05","25.30","24.85","5.26K","0.20%"
"Jul 23, 2021","25.25","25.65","25.90","25.00","8.41K","-1.37%"
"Jul 22, 2021","25.60","26.40","26.40","25.55","21.17K","-3.21%"
"Jul 21, 2021","26.45","24.85","26.45","24.85","10.38K","6.44%"
"Jul 20, 2021","24.85","24.75","25.10","24.45","8.19K","1.84%"
"Jul 19, 2021","24.40","25.65","25.65","24.40","10.90K","-5.61%"
"Jul 16, 2021","25.85","25.65","25.95","25.30","7.48K","1.17%"
"Jul 15, 2021","25.55","25.75","25.75","25.40","4.99K","-0.58%"
"Jul 14, 2021","25.70","25.65","26.05","25.55","5.09K","-1.15%"
"Jul 13, 2021","26.00","26.60","26.85","26.00","8.88K","-3.17%"
"Jul 12, 2021","26.85","26.05","26.90","26.00","31.98K","2.68%"
"Jul 09, 2021","26.15","25.00","26.15","25.00","12.97K","2.95%"
"Jul 08, 2021","25.40","25.45","25.45","24.85","10.77K","1.60%"
"Jul 07, 2021","25.00","25.35","25.70","25.00","7.89K","-0.79%"
"Jul 06, 2021","25.20","25.15","25.30","24.95","7.27K","0.40%"
"Jul 05, 2021","25.10","25.20","25.20","24.70","6.16K","0.80%"
"Jul 02, 2021","24.90","24.80","25.05","24.80","6.63K","0.40%"
"Jul 01, 2021","24.80","24.85","24.95","24.45","10.65K","0.40%"
"Jun 30, 2021","24.70","25.25","25.25","24.55","17.14K","-1.59%"
"Jun 29, 2021","25.10","25.50","25.50","24.85","11.83K","-0.99%"
"Jun 28, 2021","25.35","25.80","26.00","25.30","12.47K","-1.55%"
"Jun 25, 2021","25.75","26.20","26.20","25.75","4.25K","-1.34%"
"Jun 24, 2021","26.10","26.10","26.10","25.90","8.26K","0.00%"
"Jun 23, 2021","26.10","26.25","26.25","25.90","14.53K","-0.57%"
"Jun 22, 2021","26.25","25.70","26.40","25.70","21.62K","1.94%"
"Jun 21, 2021","25.75","25.45","25.90","25.25","11.89K","0.59%"
"Jun 18, 2021","25.60","25.75","25.85","25.40","26.04K","1.19%"
"Jun 17, 2021","25.30","25.75","25.90","25.30","14.81K","-0.39%"
"Jun 16, 2021","25.40","25.75","25.75","25.40","9.34K","-0.78%"
"Jun 15, 2021","25.60","25.90","26.05","25.50","25.28K","-1.35%"
"Jun 14, 2021","25.95","25.80","26.10","25.80","11.08K","0.78%"
"Jun 11, 2021","25.75","26.05","26.20","25.70","18.13K","-1.15%"
"Jun 10, 2021","26.05","26.75","26.75","26.05","14.54K","-2.43%"
"Jun 09, 2021","26.70","25.90","26.70","25.75","40.04K","3.09%"
"Jun 08, 2021","25.90","25.45","25.90","25.40","25.90K","2.37%"
"Jun 07, 2021","25.30","25.00","25.45","25.00","9.92K","0.40%"
"Jun 04, 2021","25.20","25.05","25.20","25.00","11.94K","0.80%"
"Jun 03, 2021","25.00","24.95","25.10","24.80","22.93K","1.01%"
"Jun 02, 2021","24.75","24.55","24.90","24.55","40.43K","0.61%"
"Jun 01, 2021","24.60","24.45","24.70","24.40","8.12K","0.61%"
"May 31, 2021","24.45","24.45","24.95","24.40","14.86K","0.00%"
"May 28, 2021","24.45","24.75","25.00","24.35","61.46K","0.20%"
"May 27, 2021","24.40","24.40","25.05","24.40","61.94K","0.00%"
"May 26, 2021","24.40","24.30","24.70","24.05","34.78K","1.24%"
"May 25, 2021","24.10","24.15","24.45","24.10","14.00K","0.21%"
"May 24, 2021","24.05","23.75","24.25","23.65","17.58K","1.26%"
"May 21, 2021","23.75","23.60","23.75","23.50","16.28K","1.06%"
"May 20, 2021","23.50","23.50","23.60","23.20","12.46K","1.08%"
"May 19, 2021","23.25","23.60","23.60","23.10","16.15K","-1.48%"
"May 18, 2021","23.60","23.40","23.60","23.10","23.33K","0.21%"
"May 17, 2021","23.55","23.55","23.80","23.35","13.34K","0.00%"
"May 14, 2021","23.55","23.40","23.70","23.40","14.72K","0.64%"
"May 13, 2021","23.40","24.00","24.00","23.10","17.41K","-2.50%"
"May 12, 2021","24.00","24.35","24.35","24.00","23.34K","-1.44%"
"May 11, 2021","24.35","24.80","24.80","24.30","20.89K","-2.01%"
"May 10, 2021","24.85","24.45","24.85","24.45","67.66K","1.43%"
"May 07, 2021","24.50","24.90","25.15","24.35","53.10K","-1.41%"
"May 06, 2021","24.85","24.25","25.00","24.20","665.17K","2.47%"
"May 05, 2021","24.25","24.80","24.95","24.05","43.09K","-1.22%"
"May 04, 2021","24.55","24.85","25.00","24.45","26.88K","-1.21%"
"May 03, 2021","24.85","25.00","25.00","24.35","18.29K","-0.40%"
"Apr 30, 2021","24.95","25.00","25.05","24.85","20.23K","-0.20%"
"Apr 29, 2021","25.00","25.25","25.25","24.90","22.15K","-0.40%"
"Apr 28, 2021","25.10","25.05","25.25","24.95","15.50K","0.20%"
"Apr 27, 2021","25.05","24.70","25.05","24.55","13.87K","-0.20%"
"Apr 26, 2021","25.10","24.35","25.15","24.35","30.69K","2.87%"
"Apr 23, 2021","24.40","24.90","24.90","24.40","11.24K","-2.01%"
"Apr 22, 2021","24.90","24.30","24.90","24.30","24.37K","2.47%"
