"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 30, 2021","12.26","12.55","12.72","12.26","159.52K","-2.31%"
"Sep 29, 2021","12.55","12.72","12.76","12.44","200.37K","-1.41%"
"Sep 28, 2021","12.73","13.32","13.32","12.70","232.27K","-3.85%"
"Sep 27, 2021","13.24","12.85","13.33","12.79","223.71K","3.20%"
"Sep 24, 2021","12.83","12.82","12.97","12.77","118.65K","-0.54%"
"Sep 23, 2021","12.90","12.80","13.00","12.67","135.17K","0.47%"
"Sep 22, 2021","12.84","12.61","12.96","12.61","155.56K","2.88%"
"Sep 21, 2021","12.48","12.85","12.90","12.45","198.83K","-2.42%"
"Sep 20, 2021","12.79","12.82","12.88","12.53","179.50K","-1.54%"
"Sep 17, 2021","12.99","12.70","13.18","12.70","360.38K","2.28%"
"Sep 16, 2021","12.70","12.55","12.89","12.49","148.08K","1.60%"
"Sep 15, 2021","12.50","12.62","12.76","12.49","161.90K","-1.19%"
"Sep 14, 2021","12.65","12.70","12.86","12.59","149.98K","-0.94%"
"Sep 13, 2021","12.77","12.56","12.77","12.48","196.30K","2.32%"
"Sep 10, 2021","12.48","12.86","12.86","12.46","128.01K","-2.58%"
"Sep 09, 2021","12.81","12.77","12.90","12.61","124.08K","-0.23%"
"Sep 08, 2021","12.84","13.09","13.13","12.83","199.73K","-2.43%"
"Sep 07, 2021","13.16","13.16","13.28","13.12","90.98K","0.08%"
"Sep 06, 2021","13.15","13.34","13.34","13.12","120.83K","-1.05%"
"Sep 03, 2021","13.29","13.47","13.58","13.25","130.36K","-1.56%"
"Sep 02, 2021","13.50","13.62","13.62","13.41","58.62K","-0.95%"
"Sep 01, 2021","13.63","13.50","13.74","13.50","134.99K","1.49%"
"Aug 31, 2021","13.43","13.39","13.54","13.28","144.01K","0.37%"
"Aug 30, 2021","13.38","13.60","13.70","13.37","85.29K","-1.62%"
"Aug 27, 2021","13.60","13.34","13.62","13.32","77.34K","1.49%"
"Aug 26, 2021","13.40","13.35","13.48","13.22","164.42K","0.00%"
"Aug 25, 2021","13.40","13.41","13.54","13.24","113.68K","-0.07%"
"Aug 24, 2021","13.41","13.60","13.68","13.36","105.55K","-1.32%"
"Aug 23, 2021","13.59","13.57","13.63","13.38","105.17K","1.42%"
"Aug 20, 2021","13.40","13.56","13.61","13.32","154.28K","-1.18%"
"Aug 19, 2021","13.56","13.92","13.98","13.53","171.46K","-3.76%"
